0,0,40
0,1,40
0,2,40
0,3,40
0,4,40
0,5,40
0,6,40
0,7,40
0,8,40
0,9,40
0,10,40
0,11,40
0,12,40
0,13,40
0,14,40
0,15,40
0,16,40
0,17,40
0,18,40
0,19,40
0,20,40
0,21,40
0,22,40
0,23,40
0,24,40
0,25,40
0,26,40
0,27,40
0,28,40
0,29,40
0,30,40
0,31,40
0,32,40
0,33,40
0,34,40
0,35,40
0,36,40
0,37,40
0,38,40
0,39,40
1,0,40
1,1,40
1,2,40
1,3,40
1,4,40
1,5,40
1,6,40
1,7,40
1,8,40
1,9,40
1,10,40
1,11,40
1,12,40
1,13,40
1,14,40
1,15,40
1,16,40
1,17,40
1,18,40
1,19,40
1,20,40
1,21,40
1,22,40
1,23,40
1,24,40
1,25,40
1,26,40
1,27,40
1,28,40
1,29,40
1,30,40
1,31,40
1,32,40
1,33,40
1,34,40
1,35,40
1,36,40
1,37,40
1,38,40
1,39,40
2,0,40
2,1,40
2,2,40
2,3,40
2,4,40
2,5,40
2,6,40
2,7,40
2,8,40
2,9,40
2,10,40
2,11,40
2,12,40
2,13,40
2,14,40
2,15,40
2,16,40
2,17,40
2,18,40
2,19,40
2,20,40
2,21,40
2,22,40
2,23,40
2,24,40
2,25,40
2,26,40
2,27,40
2,28,40
2,29,40
2,30,40
2,31,40
2,32,40
2,33,40
2,34,40
2,35,40
2,36,40
2,37,40
2,38,40
2,39,40
3,0,40
3,1,40
3,2,40
3,3,40
3,4,40
3,5,40
3,6,40
3,7,40
3,8,40
3,9,40
3,10,40
3,11,40
3,12,40
3,13,40
3,14,40
3,15,40
3,16,40
3,17,40
3,18,40
3,19,40
3,20,40
3,21,40
3,22,40
3,23,40
3,24,40
3,25,40
3,26,40
3,27,40
3,28,40
3,29,40
3,30,40
3,31,40
3,32,40
3,33,40
3,34,40
3,35,40
3,36,40
3,37,40
3,38,40
3,39,40
4,0,40
4,1,40
4,2,40
4,3,40
4,4,40
4,5,40
4,6,40
4,7,40
4,8,40
4,9,40
4,10,40
4,11,40
4,12,40
4,13,40
4,14,40
4,15,40
4,16,40
4,17,40
4,18,40
4,19,40
4,20,40
4,21,40
