0,0,A,0,63
0,0,A,1,45
0,0,A,2,93
0,0,A,3,32
0,0,A,4,49
0,1,A,0,63
0,1,A,1,45
0,1,A,2,93
0,1,A,3,32
0,1,A,4,49
0,2,A,0,63
0,2,A,1,45
0,2,A,2,93
0,2,A,3,32
0,2,A,4,49
0,3,A,0,63
0,3,A,1,45
0,3,A,2,93
0,3,A,3,32
0,3,A,4,49
0,4,A,0,63
0,4,A,1,45
0,4,A,2,93
0,4,A,3,32
0,4,A,4,49
1,0,A,0,33
1,0,A,3,26
1,0,A,4,95
1,1,A,0,33
1,1,A,3,26
1,1,A,4,95
1,2,A,0,33
1,2,A,3,26
1,2,A,4,95
1,3,A,0,33
1,3,A,3,26
1,3,A,4,95
1,4,A,0,33
1,4,A,3,26
1,4,A,4,95
2,0,A,0,25
2,0,A,1,11
2,0,A,3,60
2,0,A,4,89
2,1,A,0,25
2,1,A,1,11
2,1,A,3,60
2,1,A,4,89
2,2,A,0,25
2,2,A,1,11
2,2,A,3,60
2,2,A,4,89
2,3,A,0,25
2,3,A,1,11
2,3,A,3,60
2,3,A,4,89
2,4,A,0,25
2,4,A,1,11
2,4,A,3,60
2,4,A,4,89
3,0,A,0,24
3,0,A,1,79
3,0,A,2,24
3,0,A,3,47
3,0,A,4,18
3,1,A,0,24
3,1,A,1,79
3,1,A,2,24
3,1,A,3,47
3,1,A,4,18
3,2,A,0,24
3,2,A,1,79
3,2,A,2,24
3,2,A,3,47
3,2,A,4,18
3,3,A,0,24
3,3,A,1,79
3,3,A,2,24
3,3,A,3,47
3,3,A,4,18
3,4,A,0,24
3,4,A,1,79
3,4,A,2,24
3,4,A,3,47
3,4,A,4,18
4,0,A,0,7
4,0,A,1,98
4,0,A,2,96
4,0,A,3,27
4,1,A,0,7
4,1,A,1,98
4,1,A,2,96
4,1,A,3,27
4,2,A,0,7
4,2,A,1,98
4,2,A,2,96
4,2,A,3,27
4,3,A,0,7
4,3,A,1,98
4,3,A,2,96
4,3,A,3,27
4,4,A,0,7
4,4,A,1,98
4,4,A,2,96
4,4,A,3,27
0,0,B,0,63
0,1,B,0,18
0,2,B,0,89
0,3,B,0,28
0,4,B,0,39
1,0,B,0,63
1,1,B,0,18
1,2,B,0,89
1,3,B,0,28
1,4,B,0,39
2,0,B,0,63
2,1,B,0,18
2,2,B,0,89
2,3,B,0,28
2,4,B,0,39
3,0,B,0,63
3,1,B,0,18
3,2,B,0,89
3,3,B,0,28
3,4,B,0,39
4,0,B,0,63
4,1,B,0,18
4,2,B,0,89
4,3,B,0,28
4,4,B,0,39
0,0,B,1,59
0,1,B,1,76
0,2,B,1,34
0,3,B,1,12
0,4,B,1,6
1,0,B,1,59
1,1,B,1,76
1,2,B,1,34
1,3,B,1,12
1,4,B,1,6
2,0,B,1,59
2,1,B,1,76
2,2,B,1,34
2,3,B,1,12
2,4,B,1,6
3,0,B,1,59
3,1,B,1,76
3,2,B,1,34
3,3,B,1,12
3,4,B,1,6
4,0,B,1,59
4,1,B,1,76
4,2,B,1,34
4,3,B,1,12
4,4,B,1,6
0,0,B,2,30
0,1,B,2,52
0,2,B,2,49
0,3,B,2,3
0,4,B,2,95
1,0,B,2,30
1,1,B,2,52
1,2,B,2,49
1,3,B,2,3
1,4,B,2,95
2,0,B,2,30
2,1,B,2,52
2,2,B,2,49
2,3,B,2,3
2,4,B,2,95
3,0,B,2,30
3,1,B,2,52
3,2,B,2,49
3,3,B,2,3
3,4,B,2,95
4,0,B,2,30
4,1,B,2,52
4,2,B,2,49
4,3,B,2,3
4,4,B,2,95
0,0,B,3,77
0,1,B,3,75
0,2,B,3,85
1,0,B,3,77
1,1,B,3,75
1,2,B,3,85
2,0,B,3,77
2,1,B,3,75
2,2,B,3,85
3,0,B,3,77
3,1,B,3,75
3,2,B,3,85
4,0,B,3,77
4,1,B,3,75
4,2,B,3,85
0,1,B,4,46
0,2,B,4,33
0,3,B,4,69
0,4,B,4,88
1,1,B,4,46
1,2,B,4,33
1,3,B,4,69
1,4,B,4,88
2,1,B,4,46
2,2,B,4,33
2,3,B,4,69
2,4,B,4,88
3,1,B,4,46
3,2,B,4,33
3,3,B,4,69
3,4,B,4,88
4,1,B,4,46
4,2,B,4,33
4,3,B,4,69
4,4,B,4,88
END
